epoch,accuracy,loss,val_accuracy,val_loss
0,0.3758649230003357,1.3269805908203125,0.42363113164901733,1.2759032249450684
1,0.6545806527137756,0.9716659784317017,0.6628242135047913,0.8771952390670776
2,0.7996125221252441,0.5698079466819763,0.7031700015068054,0.7581403851509094
3,0.8538610339164734,0.40549492835998535,0.6887608170509338,0.7604423761367798
4,0.8881815671920776,0.31516438722610474,0.6916426420211792,0.810634970664978
5,0.9147523045539856,0.25765830278396606,0.6714697480201721,0.8818343281745911
6,0.9285911917686462,0.2128422111272812,0.680115282535553,0.9452095031738281
7,0.9415997862815857,0.17686982452869415,0.6858789920806885,1.018760085105896
8,0.9490727782249451,0.15711450576782227,0.6714697480201721,1.0835533142089844
9,0.9576529264450073,0.13617634773254395,0.6887608170509338,1.1204296350479126
10,0.9626349210739136,0.11985315382480621,0.6829971075057983,1.170140266418457
11,0.9656794667243958,0.10931023955345154,0.6628242135047913,1.2395728826522827
12,0.9659562706947327,0.10727039724588394,0.6685879230499268,1.2542496919631958
13,0.9695543646812439,0.09462665021419525,0.6657060384750366,1.3167816400527954
14,0.9706615209579468,0.09049184620380402,0.6714697480201721,1.3374037742614746
15,0.9723221659660339,0.0876811146736145,0.6657060384750366,1.3616999387741089
16,0.9745364189147949,0.07871121168136597,0.6628242135047913,1.4557878971099854
17,0.9739828109741211,0.08331697434186935,0.680115282535553,1.4334689378738403
18,0.9723221659660339,0.07607948780059814,0.6945244669914246,1.4569061994552612
19,0.973429262638092,0.07499097287654877,0.6657060384750366,1.4593085050582886
20,0.9753667116165161,0.07260304689407349,0.6657060384750366,1.5391719341278076
21,0.9767506122589111,0.06702858954668045,0.6772334575653076,1.5307782888412476
22,0.9761970639228821,0.06831701844930649,0.6743515729904175,1.6096328496932983
23,0.975089967250824,0.06633851677179337,0.680115282535553,1.5841208696365356
24,0.9759202599525452,0.06560269743204117,0.6772334575653076,1.5413216352462769
